q,target_level,lattice_size,inverse_L,status,p_value
0.001,0.55,3,0.3333333333333333,upper_bound,0.1
0.001,0.5,3,0.3333333333333333,upper_bound,0.1
0.001,0.55,5,0.2,upper_bound,0.1
0.001,0.5,5,0.2,upper_bound,0.1
0.001,0.55,7,0.14285714285714285,upper_bound,0.1
0.001,0.5,7,0.14285714285714285,upper_bound,0.1
0.001,0.55,9,0.1111111111111111,upper_bound,0.1
0.001,0.5,9,0.1111111111111111,upper_bound,0.1
0.001,0.55,11,0.09090909090909091,upper_bound,0.1
0.001,0.5,11,0.09090909090909091,upper_bound,0.1
0.0025,0.55,3,0.3333333333333333,upper_bound,0.11
0.0025,0.5,3,0.3333333333333333,upper_bound,0.11
0.0025,0.55,5,0.2,upper_bound,0.11
0.0025,0.5,5,0.2,upper_bound,0.11
0.0025,0.55,7,0.14285714285714285,upper_bound,0.11
0.0025,0.5,7,0.14285714285714285,upper_bound,0.11
0.005,0.55,3,0.3333333333333333,upper_bound,0.1075
0.005,0.5,3,0.3333333333333333,upper_bound,0.1075
0.005,0.55,5,0.2,upper_bound,0.1075
0.005,0.5,5,0.2,upper_bound,0.1075
0.005,0.55,7,0.14285714285714285,upper_bound,0.1075
0.005,0.5,7,0.14285714285714285,upper_bound,0.1075
0.01,0.55,3,0.3333333333333333,upper_bound,0.09
0.01,0.5,3,0.3333333333333333,upper_bound,0.09
0.01,0.55,5,0.2,upper_bound,0.09
0.01,0.5,5,0.2,upper_bound,0.09
0.01,0.55,7,0.14285714285714285,upper_bound,0.09
0.01,0.5,7,0.14285714285714285,upper_bound,0.09
