q,pair_label,left_size,right_size,l_eff,inverse_l_eff,status,crossing_estimate_p,bound_p,min_abs_delta_p,min_abs_delta_value
0.0,L3-L5,3,5,4.0,0.25,crossing,0.09959340190630925,,0.105,0.0021650858561198527
0.0,L5-L7,5,7,6.0,0.16666666666666666,crossing,0.10595849522554827,,0.1025,0.0064998779296876474
0.0,L7-L9,7,9,8.0,0.125,lower_bound,,0.11,0.11,-0.002217862729673059
0.0,L9-L11,9,11,10.0,0.1,crossing,0.10209267356334994,,0.11,0.0008919587311920774
0.001,L3-L5,3,5,4.0,0.25,upper_bound,,0.075,0.08,0.008361147280092629
0.001,L5-L7,5,7,6.0,0.16666666666666666,upper_bound,,0.075,0.075,0.008874710648148265
0.001,L7-L9,7,9,8.0,0.125,upper_bound,,0.075,0.08,0.006834143518518521
0.001,L9-L11,9,11,10.0,0.1,upper_bound,,0.075,0.075,0.008099775752314797
0.0025,L3-L5,3,5,4.0,0.25,upper_bound,,0.085,0.0875,0.00483402913411457
0.0025,L5-L7,5,7,6.0,0.16666666666666666,upper_bound,,0.085,0.085,0.01846384277343749
0.005,L3-L5,3,5,4.0,0.25,crossing,0.08042765759046783,,0.08,0.0019669169108073037
0.005,L5-L7,5,7,6.0,0.16666666666666666,upper_bound,,0.08,0.0875,0.026984615071614537
0.01,L3-L5,3,5,4.0,0.25,crossing,0.07394682615351239,,0.07,0.0018627868652344448
0.01,L5-L7,5,7,6.0,0.16666666666666666,upper_bound,,0.06,0.06,0.026782690429687395
